0	1	2
Midweek pick-me-up for you: @Battlefield 1 Apocalypse is now available for standalone purchase. Get 5 new maps and… https://t.co/mb3ZUJVgPq		Limon_salvaje12
RT @CNBC: Microsoft co-founder turned ocean explorer Paul Allen found the USS Lexington aircraft carrier, which had been lost since 1942. h…		StockMarketStar
Microsoft Office Vs Google https://t.co/WmVKg4WAnf #tech	Peterborough, England	Rkzeix
Nintendo Is Expected To Have A Bigger Share Of Console Market Than Microsoft This Year https://t.co/0yNuONG26E via @MyNintendoNews	Australia	EvilSLJ
A top Microsoft exec confirms that it's killing the newest version of Windows 10 — but that's not the whole story…	Global	mobicyberdev
A top Microsoft exec confirms that it’s killing the newest version of Windows 10 — but that’s not the whole story https://t.co/zhpim1dMRH	On Web	undocopy
"RT @ArfMeasures: INTERVIEWER: Do you use Microsoft Office?
ME: I ""excel"" at it
INTERVIEWER: haha ok
ME: You have my Word
INTERVIEWER: ok I…"	in God's grace	eugennayap
Microsoft, SAP And Oracle Join Cloud-Industry Obsession Over New Performance Metric via @forbes https://t.co/ZHn985YVzY	San Francisco, CA	MichaelLunzer
RT @StephanieSyptak: More great news about American businesses in Singapore: Microsoft to open first Southeast Asia Surface store in Singap…	Singapore	AmChamSG
RT @epjmorris: #ArcGIS is now available on a Microsoft GeoAI Virtual Machine - you can now build applications, predict and extract informat…	Bogotá - Colombia	geo_geeks
@ADKGamers Microsoft. Trackball. Explorer. Brand new, it will set you back about $600. No joke - they haven't made… https://t.co/7dfNmq9aad		Tournamatch
"RT @TannKnee: Another wallet killer. 

#asus #amd #ryzen #windows #microsoft #customwaterloop #nvidia #pcmasterrace #ekwb... https://t.co/M…"	Twitter - Informationen	NewsFeedDE
Microsoft signs its first Indian solar deal https://t.co/AZdx8eIG6q	Delhi/Gzbd/Lucknow/Hazaribagh	vineetkhare
Well, this happens when I challenge my fello #MVP Christian #MVPBuzz https://t.co/G16QufXjMV	iPhone: 47.478111,8.306019	sharepointszu
RT @SharePoint: You can now move files anywhere in #Office365, #SharePoint and #OneDrive! Check out how: https://t.co/53wN81TCdE https://t.…		SP_twit
